situation,clue,thought,polarity
I decided to go on a hike with my friends . , I  have  a  terrible  sense  of  direction . , I  would  get  lost . ,0
I decided to go on a hike with my friends . , I'm not very athletic . , I wouldn't be able to keep up . ,0
I decided to go on a hike with my friends . , I have a cold . , I wouldn't be able to keep up . ,0
I decided to go on a hike with my friends . , I haven't hiked before . , I might fall and get hurt . ,0
I decided to go on a hike with my friends . , I am not very coordinated . , I might fall and get hurt . ,0
I yelled back at my brother when he called me names . , I know that Mom and Dad don't like us fighting . , I will be in big trouble . ,0
I yelled back at my brother when he called me names . , mom says we are not supposed to yell at each other . , I will be in big trouble . ,0
I yelled back at my brother when he called me names . , I know my parents don't tolerate that . , I will be in big trouble . ,0
I yelled back at my brother when he called me names . , he is my only brother . , I will regret it later . ,0
I yelled back at my brother when he called me names . , I never yell back at him . , he won't talk to me for awhile . ,0
I yelled back at my brother when he called me names . , I was really disrespectful . , he will never listen to me . ,0
I yelled back at my brother when he called me names . , I made him really mad . , he will never listen to me . ,0
I would play tennis with my friend . , I never play tennis before . , I will not be able to hit the ball . ,0
I would play tennis with my friend . , I'm not very good at sports . , I will not be able to hit the ball . ,0
I would play tennis with my friend . , my friend is better at playing tennis . , I will not win . ,0
I would play tennis with my friend . , I haven't played tennis before . , I will not win . ,0
I would play tennis with my friend . , I never played tennis before . , I would  be   very   bad . ,0
I would play tennis with my friend . , my friend is better than me . , I would never win . ,0
I would play tennis with my friend . , my friend is a professional player . , I would never win . ,0
I would play tennis with my friend . , my friend is very good at tennis . , I would never win . ,0
I would play tennis with my friend . , my friend is a professional player . , I would always lose . ,0
I would play tennis with my friend . , my friend is a much better player . , I would always lose . ,0
I would play tennis with my friend . , my skills are not as good as his . , I would always lose . ,0
My dad is taking me to work with him today . , I have to sit in the car for a long time . , I will be bored . ,0
My dad is taking me to work with him today . , I have nothing to do . , I will be bored . ,0
My dad is taking me to the library because I have a project due . , I don't know how to use the library . , I will be embarrassed . ,0
My dad is taking me to the library because I have a project due . , I am too old for this . , I will be embarrassed . ,0
My dad is taking me to the library because I have a project due . , I am in high school  . , I will be embarrassed . ,0
My dad is taking me to the library because I have a project due . , my dad is old and weak . , I will have to carry all the books . ,0
My dad is taking me to the library because I have a project due . , my dad is handicapped . , I will have to carry all the books . ,0
My dad is taking me to the library because I have a project due . , I don't like reading books . , I will be bored . ,0
My dad is taking me to the library because I have a project due . , all the books will be boring . , I will never be able to find anything good to read . ,0
My dad is taking me to the library because I have a project due . , the library is so boring . , I will never be able to find anything good to read . ,0
I almost hit a pedestrian with my car . , I am at fault . , I will get sued . ,0
I almost hit a pedestrian with my car . , it was my fault . , I will get sued . ,0
I almost hit a pedestrian with my car . , I was not paying attention to the road . , I will get into an accident . ,0
I almost hit a pedestrian with my car . , I wasn't paying attention . , I will get into an accident . ,0
I almost hit a pedestrian with my car . , I have hit two other people with my car . , that I am a bad driver . ,0
I almost hit a pedestrian with my car . , this is the second time I almost hit someone . , that I am a bad driver . ,0
My boss also told me that I need to come in early tomorrow . , I am not a morning person . , I will not be able to wake up on time . ,0
My boss also told me that I need to come in early tomorrow . , I slept late last night . , I will not be able to wake up on time . ,0
My boss also told me that I need to come in early tomorrow . , I love to sleep . , I will not be able to wake up on time . ,0
My boss also told me that I need to come in early tomorrow . , he is always making us come in early . , I will never get a day off . ,0
My boss also told me that I need to come in early tomorrow . , he always makes me work overtime . , I will never get a day off . ,0
My boss also told me that I need to come in early tomorrow . , my boss is always making me work . , I will never get a day off . ,0
My boss also told me that I need to come in early tomorrow . , I need to commute for an hour . , I will have to get up really early . ,0
My boss also told me that I need to come in early tomorrow . , I live pretty far from work . , I will have to get up really early . ,0
I asked my friend to stay with me during winter break . , s/he already has plans . , s/he will say no . ,0
I asked my friend to stay with me during winter break . , s/he went home for winter break . , s/he will say no . ,0
I asked my friend to stay with me during winter break . , my friend may get bored . , I may have to provide all the entertainment . ,0
I asked my friend to stay with me during winter break . , he may have other plans . , he may not want to stay with me the whole time . ,0
I asked my friend to stay with me during winter break . , I can be kind of boring . , he may not want to stay with me the whole time . ,0
I asked my friend to stay with me during winter break . , he is always looking for a free place to stay . , he would take advantage of my hospitality . ,0
I asked my friend to stay with me during winter break . , he is a couch surfer . , he would take advantage of my hospitality . ,0
I will form my opinion after the presentation . , my idea is too radical . , I will not be respected . ,0
I will form my opinion after the presentation . , I'm too young . , I will not be respected . ,0
I will form my opinion after the presentation . , I'm not an expert . , no one will listen to me . ,0
I will form my opinion after the presentation . , I always freeze during presentations . , no one will listen to me . ,0
I will form my opinion after the presentation . , my idea is not original . , no one will listen to me . ,0
I will form my opinion after the presentation . , I usually do not have strong opinions . , I will be influenced by others in the group . ,0
I will form my opinion after the presentation . , I always value other people's opinions . , I will be influenced by others in the group . ,0
I am forming a new organization with my friends . , we don't have clear goals . , it will not be successful . ,0
I am forming a new organization with my friends . , we don't have enough experience . , it will not be successful . ,0
I am forming a new organization with my friends . , we haven't come to a consensus on what the organization should be yet . , it may not work out the way I want it to . ,0
I am forming a new organization with my friends . , it's my first time forming an organization . , it may not work out the way I want it to . ,0
I am forming a new organization with my friends . , I have no experience in leading a group . , it may not work out the way I want it to . ,0
I am forming a new organization with my friends . , we didn't spend enough time planning it . , it will not work out . ,0
I am forming a new organization with my friends . , we don't have similar vision . , it will not work out . ,0
I am forming a new organization with my friends . , we have too many disagreements on the fundamental issues . , it will not work out . ,0
The cashier gave me a description of the dress I wanted . , the store is too big . , I wouldn't be able to find it . ,0
The cashier gave me a description of the dress I wanted . , I'm too skinny . , it would not be in my size . ,0
The cashier gave me a description of the dress I wanted . , the color wouldn't suit me . , It won't look good on me . ,0
The cashier gave me a description of the dress I wanted . , It's not my style . , It won't look good on me . ,0
The cashier gave me a description of the dress I wanted . , the dress is not my style . , It won't look good on me . ,0
The cashier gave me a description of the dress I wanted . , it was made of silk . , it would be too expensive . ,0
The cashier gave me a description of the dress I wanted . , it was designer  . , it would be too expensive . ,0
The cashier gave me a description of the dress I wanted . , the dress she was describing sounded nothing like the one I wanted . , she was trying to scam me . ,0
I gave my boss an explanation for why I was late . , my story was not good enough . , he will not believe me . ,0
I gave my boss an explanation for why I was late . , I have been late a lot lately . , he will not believe me . ,0
I gave my boss an explanation for why I was late . , my excuses were not convincing . , he will not believe me . ,0
I gave my boss an explanation for why I was late . , it was a very complicated excuse . , he wouldn't understand . ,0
I gave my boss an explanation for why I was late . , I didn't have a good reason . , he wouldn't understand . ,0
I gave my boss an explanation for why I was late . , I have been late a lot lately . , he will think I am lying . ,0
I gave my boss an explanation for why I was late . , I didn't have a good excuse . , he will think I am lying . ,0
He gave her flowers on their first date . , he did something too romantic too soon . , he will be too clingy . ,0
He gave her flowers on their first date . , he seems really eager . , he will be too clingy . ,0
He gave her flowers on their first date . , he bought the flowers from the grocery store . , he may be trying to buy her affection . ,0
I am going on a date with my boyfriend tomorrow . , I am not pretty enough . , he will not like me . ,0
I am going on a date with my boyfriend tomorrow . , I am not his type . , he will not like me . ,0
I am going on a date with my boyfriend tomorrow . , we have been having a lot of fights lately . , he will break up with me . ,0
I am going on a date with my boyfriend tomorrow . , he has been acting distant lately . , he will break up with me . ,0
I am going on a date with my boyfriend tomorrow . , he has stood me up before . , that he may not show up . ,0
I am going on a date with my boyfriend tomorrow . , he hasn't been texting me much today . , that he may not show up . ,0
I am going on a date with my boyfriend tomorrow . , he is really busy with work . , he will cancel on me like he did last week . ,0
I am going on a date with my boyfriend tomorrow . , he is a flake . , he will cancel on me like he did last week . ,0
I am going on a date with my boyfriend tomorrow . , he might be busy . , he will cancel on me like he did last week . ,0
My friends are holding my spot in line for the new iPhone . , the store is giving out a limited number of phones . , I will not get one . ,0
My friends are holding my spot in line for the new iPhone . , the line is too long . , I will not get one . ,0
My friends are holding my spot in line for the new iPhone . , the new iPhone is sold out . , I will not get one . ,0
My friends are holding my spot in line for the new iPhone . , it is too expensive . , I will not be able to afford it . ,0
I ask my crush out on a date . , I'm not his type . , he will say no . ,0
I asked my neighbor if they could water my plants while I'm gone . , they never help me with anything . , they will say no . ,0
I asked my neighbor if they could water my plants while I'm gone . , they never really talked to me before . , they will say no . ,0
I asked my neighbor if they could water my plants while I'm gone . , they never have time for anything . , they will say no . ,0
I asked my neighbor if they could water my plants while I'm gone . , they never water their own plants . , they might not do a good job . ,0
I asked my neighbor if they could water my plants while I'm gone . , they never took care of plants before . , they might not do a good job . ,0
I asked my neighbor if they could water my plants while I'm gone . , they have a lot of their own plants to take care of . , they will give up on them too soon . ,0
I asked my neighbor if they could water my plants while I'm gone . , they never took care of plants before . , they will give up on them too soon . ,0
I asked my neighbor if they could water my plants while I'm gone . , my neighbor is usually forgetful . , they will give up on them too soon . ,0
I asked my roommate if he wanted to go to the game with me . , he doesn't like football . , he will say no . ,0
I bought my first car . , I am not a good driver . , I will have an accident . ,0
I bought my first car . , I was a new driver . , I will have an accident . ,0
I bought my first car . , I was not very experienced in driving . , I will have an accident . ,0
I bought my first car . , it was very expensive . , I would never be able to afford a better one . ,0
I bought my first car . , I spent all my savings on it . , I would never be able to afford a better one . ,0
I bought my first car . , I still have student loans to pay off . , I would never be able to afford a better one . ,0
I bought my first car . , it was used . , it will break down . ,0
I bought my first car . , it was a used car . , it will break down . ,0
I bought my first car . , it was a used car . , it may break down and I'll have to spend a lot of money fixing it . ,0
I was driving my car on the highway . , I was driving too fast . , I will hit a deer and die . ,0
I was driving my car on the highway . , I was going very fast . , I will hit a deer and die . ,0
I was driving my car on the highway . , I was driving too fast . , I would have an accident . ,0
I was driving my car on the highway . , I was driving too fast . , I will never get home alive . ,0
I was driving my car on the highway . , I was going so fast . , I will never get home alive . ,0
I give my mom a gift for her birthday . , I don't know what she likes . , she will not like it . ,0
I give my mom a gift for her birthday . , it is not what she wanted . , she will not like it . ,0
I helped my friend study for his test . , he is smarter than me . , he will get a better grade than me . ,0
I helped my friend study for his test . , he is better at taking tests . , he will get a better grade than me . ,0
I helped my friend study for his test . , he didn't understand most of what we went over . , he will not pass . ,0
I helped my friend study for his test . , he didn't seem to be understanding the material . , he will not pass . ,0
I helped my friend study for his test . , he didn't listen to my advice . , he will not pass . ,0
I helped my friend study for his test . , he didn't study very hard . , he will fail . ,0
I helped my friend study for his test . , he didn't listen to my explanations . , he will fail . ,0
I helped my friend study for his test . , he didn't listen to my advice . , he will fail . ,0
I keep my fingers crossed for my driving test . , I'm not confident . , I might not pass . ,0
I keep my fingers crossed for my driving test . , I'm not a confident driver . , I will fail . ,0
I keep my fingers crossed for my driving test . , I am not confident . , I will fail . ,0
I left my laptop at home . , it is all on my laptop . , I will not be able to finish my work . ,0
I left my laptop at home . , I need it to do my work . , I will not be able to finish my work . ,0
I left my laptop at home . , I need it to do research . , I will not be able to complete the project on time . ,0
I left my laptop at home . , I need it to do my work . , I will not be able to complete the project on time . ,0
I left my laptop at home . , I need the laptop to do the project . , I will not be able to complete the project on time . ,0
I left my laptop at home . , I can't go back home to get it . , I will have to use my work computer which is very slow . ,0
I left my laptop at home . , my laptop is much faster . , I will have to use my work computer which is very slow . ,0
I left my laptop at home . , I can't go home to get it . , I will have to use the computer at work . ,0
I left my laptop at home . , I can't borrow my friend's laptop . , I will have to use the computer at work . ,0
I left my laptop at home . , I can't go back home . , I will have to use the computer at work . ,0
I let my friends borrow my car . , they are not very careful with other people's things . , they will damage it . ,0
I let my friends borrow my car . , they are not careful . , they will damage it . ,0
I let my friends borrow my car . , they are always busy . , they will not return it on time . ,0
I let my friends borrow my car . , they always return things late . , they will not return it on time . ,0
I let my friends borrow my car . , they are always late . , they will not return it on time . ,0
My brothers let me play with their new toys . , I will break it . , I will get in trouble . ,0
My brothers let me play with their new toys . , they are always doing that . , they will take them back when I'm done . ,0
My brothers let me play with their new toys . , they're only letting me play with them because I'm younger . , they will take them back when I'm done . ,0
My brothers let me play with their new toys . , they're not really mine . , they will take them back when I'm done . ,0
My brothers let me play with their new toys . , I always break their toys . , they will not let me play with them again . ,0
My brothers let me play with their new toys . , I always break their stuff . , they will not let me play with them again . ,0
I lead two groups in my church . , I never led a group before . , I will fail . ,0
I lead two groups in my church . , I'm not confident . , I will fail . ,0
I lead two groups in my church . , I am not good at public speaking . , I will fail . ,0
I lead two groups in my church . , I'm not good at time management . , I will not be able to meet everyone's needs . ,0
I lead two groups in my church . , they all have different opinions . , I will not be able to meet everyone's needs . ,0
I lead two groups in my church . , I have more friends in that group . , I will favor one . ,0
I lead two groups in my church . , I can't handle both of them equally . , I will favor one . ,0
I lead two groups in my church . , I'm too busy . , I will never have time for myself . ,0
I lead two groups in my church . , both groups have demanding meeting schedules . , I will never have time for myself . ,0
I lead two groups in my church . , it is time-consuming . , I will not have time to do anything else . ,0
I lead two groups in my church . , both groups have a lot of events . , I will not have time to do anything else . ,0
I lead two groups in my church . , both groups are very time-consuming . , I will not have time to do anything else . ,0
The defendant protested his innocence . , the evidence against him was so strong . , he would be convicted . ,0
The defendant protested his innocence . , he has a previous conviction . , he will not be believed . ,0
The defendant protested his innocence . , the evidence is so strong against him . , he will not be believed . ,0
The defendant protested his innocence . , several pieces of evidence suggested otherwise . , he might be lying . ,0
The defendant protested his innocence . , many pieces of evidence point to his guilt . , he might be lying . ,0
The defendant protested his innocence . , the evidence against him was so strong . , he might be lying . ,0
The defendant protested his innocence . , his protestations were so weak  . , he may have been guilty . ,0
The defendant protested his innocence . , he was unable to provide an alibi . , he may have been guilty . ,0
The defendant protested his innocence . , the evidence was strong against him . , he may have been guilty . ,0
I raised my hands to look at the board . , I know the answer to the question . , the teacher will ask me a question . ,0
I raised my hands to look at the board . , my hand was the only one up . , the teacher will ask me a question . ,0
I raised my hands to look at the board . , I wanted to ask a question . , the teacher would call on me . ,0
I raised my hands to look at the board . , I always get called on in class . , the teacher would call on me . ,0
I raised my hands to look at the board . , I am very short . , my classmates will make fun of me . ,0
I raised my hands to look at the board . , I am the shortest person in the class . , my classmates will make fun of me . ,0
I raised my hands to look at the board . , I am the only person with their hand up . , I will get called on . ,0
I raised my hands to look at the board . , I always get called on in class . , I will get called on . ,0
I raised my hands to look at the board . , my teacher always calls on people who raise their hands . , I will get called on . ,0
I raised my hands to look at the board . , I never participate in class . , my teacher would put me on the spot . ,0
I raised my hands to look at the board . , I didn't know the answer to the question . , my teacher would put me on the spot . ,0
I accept your offer to go for a date . , I am not pretty . , you will think I am ugly . ,0
I accept your offer to go for a date . , I have low self-esteem . , you will think I am ugly . ,0
I accept your offer to go for a date . , I'm not pretty enough . , you will not call me back . ,0
I accept your offer to go for a date . , you probably didn't have a good time . , you will not call me back . ,0
I accept your offer to go for a date . , you are not interested in me . , you will not call me back . ,0
I accept your offer to go for a date . , I am not popular in school . , you will think I am a loser . ,0
I accept your offer to go for a date . , I am really shy . , you will think I am a loser . ,0
I accept your offer to go for a date . , I have been single for a long time . , you will think I am a loser . ,0
I accept your offer to go for a date . , you didn't dress up for the date . , you may not be asnice as I thought you were . ,0
I accept your offer to go for a date . , you seem 50% interested . , you may not be asnice as I thought you were . ,0
I accept your offer to go for a date . , you cancelled last minute . , you may not be asnice as I thought you were . ,0
I accept your offer to go for a date . , you are really busy . , you will cancel on me . ,0
I accept your offer to go for a date . , you are probably not interested . , you will cancel on me . ,0
I accept your offer to go for a date . , you are not interested in me . , you will cancel on me . ,0
The host announced my arrival . , I got lost on my way there . , I will be late . ,0
The host announced my arrival . , I slept in . , I will be late . ,0
The host announced my arrival . , I ran into some trouble on the way . , I will be late . ,0
The host announced my arrival . , I  have not practiced my speech . , I am not ready . ,0
The host announced my arrival . , I  am  not  wearing  my  nicest clothes  . , I am not ready . ,0
The host announced my arrival . , I am not well dressed  . , I am not ready . ,0
The host announced my arrival . , I'm not used to being in the spotlight . , I  would be embarrassed . ,0
The host announced my arrival . , I  am  not  good  at  socializing . , I  would be embarrassed . ,0
The host announced my arrival . , I am not famous . , he misspoke and I am not the person he is supposed to be announcing . ,0
The host announced my arrival . , I hadn't done anything to deserve being announced . , he misspoke and I am not the person he is supposed to be announcing . ,0
The questions my boss asked me were very difficult . , I didn't study for the interview . , I will not be able to answer . ,0
The questions my boss asked me were very difficult . , I was not expecting difficult questions  . , I will not be able to answer . ,0
The questions my boss asked me were very difficult . , I am not very good at that subject . , I will not be able to answer . ,0
The questions my boss asked me were very difficult . , I could not answer any of the questions correctly . , I will be fired . ,0
The questions my boss asked me were very difficult . , I  couldn't answer any of them . , I will be fired . ,0
The questions my boss asked me were very difficult . , I couldn't answer any of them . , he doesn't think I am competent . ,0
The questions my boss asked me were very difficult . , I didn't answer them well . , he doesn't think I am competent . ,0
I went to my friends room to study together . , she might have had other plans . , she would not be there . ,0
I went to my friends room to study together . , she was busy with her phone . , I will be ignored . ,0
I went to my friends room to study together . , I'm bad at studying . , she would not want to study with me . ,0
I went to my friends room to study together . , she is studying with her friends . , she would not want to study with me . ,0
I went to my friends room to study together . , my friends are really loud . , I won't be able to concentrate . ,0
I went to my friends room to study together . , her room is really messy . , I won't be able to concentrate . ,0
I went to my friends room to study together . , there's too much noise outside . , I won't be able to concentrate . ,0
I went to my friends room to study together . , he always procrastinates . , he would not be ready and it would be a waste of time . ,0
I went to my friends room to study together . , he wanted to go out . , he would not be ready and it would be a waste of time . ,0
I also asked for a raise . , I have only worked at the company for a few months . , I will be fired . ,0
I also asked for a raise . , I have only worked here for a few months . , I will be fired . ,0
I also asked for a raise . , I have only worked here for a few months . , I will be rejected . ,0
I also asked for a raise . , I just started working at the company . , I will be rejected . ,0
I also asked for a raise . , I have been employed for such a short time . , I will never get one . ,0
I also asked for a raise . , my boss never gave me a raise . , I will never get one . ,0
I also asked for a raise . , I am not contributing to the company . , I will never get one . ,0
I also asked for a raise . , I just started this job . , my boss will think I'm greedy . ,0
I also asked for a raise . , I just started working here . , my boss will think I'm greedy . ,0
I also asked for a raise . , I just started working here . , I will not get it . ,0
I also asked for a raise . , I have only been with the company for a short time . , I will not get it . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , they have always had a difficult time seeing eye to eye . , they will not be able to put their differences aside . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , they have been unable to get along in the past . , they will not be able to put their differences aside . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , they won't be able to voice their opinion . , someone will get upset . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , they will feel like they are being forced to associate with someone they don't like . , someone will get upset . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , I'm the one that brought them all together in the first place . , I will be the one that has to fix all the arguments . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , I'm the one that knows everyone the best . , I will be the one that has to fix all the arguments . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , they will not be able to compromise . , the environment will not be successful . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , the people will not get along . , the environment will not be successful . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , their past interactions have not been positive . , they will not be able to work together and the project will be a failure . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , they have such different personalities . , they will not be able to work together and the project will be a failure . ,0
I buy the bike from the bike shop . , the bike shop is new and I don't know how much the bike should cost . , I will be overcharged . ,0
I buy the bike from the bike shop . , the salesperson is very slippery . , I will be overcharged . ,0
I buy the bike from the bike shop . , it is the cheapest one  . , it will break easily . ,0
I buy the bike from the bike shop . , it is made with poor quality materials . , it will break easily . ,0
I buy the bike from the bike shop . , the material looks cheap . , it will break easily . ,0
I buy the bike from the bike shop . , the sky is cloudy . , it will rain tomorrow . ,0
I buy the bike from the bike shop . , I didn't lock it . , the bike will be stolen . ,0
I buy the bike from the bike shop . , I didn't buy the insurance . , the bike will be stolen . ,0
I continue driving even though I am very tired . , drowsy driving is very dangerous . , I will fall asleep at the wheel . ,0
I continue driving even though I am very tired . , I have not had enough sleep . , I will fall asleep at the wheel . ,0
I continue driving even though I am very tired . , I  am  not  focus  on  the  road . , I will  have an accident . ,0
I continue driving even though I am very tired . , drowsy driving is very dangerous . , I will  have an accident . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", they are not interested in what I have to say . , I will be judged . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I'm not used to being in a big group . , I will be judged . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I'm not used to speaking in front of large groups . , I will be judged . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I do not like speaking in front of a lot of people  . , I will get embarrassed and make a fool of myself . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I'm not used to talking in front of a large group . , I will get embarrassed and make a fool of myself . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I don't like being the center of attention . , I will feel uncomfortable . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I'm not used to being in big groups . , I will feel uncomfortable . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I get nervous in front of large groups . , I might say something embarrassing . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", I'm not used to speaking in front of a lot of people . , I might say something embarrassing . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", my voice is so quiet . , I will never be heard . ,0
I hike up a mountain by myself . , I  am  not  familiar with  the  area . , I will get lost in the wilderness . ,0
I hike up a mountain by myself . , I don't have  a map  . , I will get lost in the wilderness . ,0
I hike up a mountain by myself . , it would be my first time hiking up a mountain . , I will get lost in the wilderness . ,0
I hike up a mountain by myself . , I have never hiked up a mountain before . , I will get lost . ,0
I hike up a mountain by myself . , I hike up the mountain for the first time . , I will get lost . ,0
I hike up a mountain by myself . , I have a bad sense of direction . , I will get lost . ,0
I hike up a mountain by myself . , it will be getting dark soon . , I may not be able to make it down . ,0
"My boss yells at me, and I yell back . ", I   am   not   supposed   to   yell   at   my   boss . , I will get  fired . ,0
"My boss yells at me, and I yell back . ", I am  not respecting my boss . , I will get  fired . ,0
"My boss yells at me, and I yell back . ", I am not supposed to yell at my boss . , I will get written up . ,0
I spend many hours working on a project that I'm not interested in . , the project is not interesting to me . , I will be bored . ,0
I spend many hours working on a project that I'm not interested in . , I am not passionate about the project . , I will be bored . ,0
I spend many hours working on a project that I'm not interested in . , I will get bored easily . , I will not be able to finish it . ,0
I spend many hours working on a project that I'm not interested in . , it's very boring . , I will not be able to finish it . ,0
I spend a lot of money on clothes . , I don't have a lot of money . , I will have no money for food . ,0
I spend a lot of money on clothes . , I don't have a job . , I will have no money for food . ,0
I spend a lot of money on clothes . , I don't have a lot of money . , I will be broke . ,0
I spend a lot of money on clothes . , I have no money . , I will be broke . ,0
I spend a lot of money on clothes . , I spend too much . , I will never be able to save up . ,0
I spend a lot of money on clothes . , I have no self-control . , I will never be able to save up . ,0
I show everyone my new car . , the car is very luxury . , I will be regarded as a show-off . ,0
I show everyone my new car . , I just bought a used car . , they will all judge me . ,0
I show everyone my new car . , I am not driving a luxury car . , they will all judge me . ,0
I show everyone my new car . , it's a very nice car . , they will be jealous of me . ,0
I show everyone my new car . , it's a luxury car  . , they will all think it's too expensive . ,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", my boss wants me to stay and work late . , I will not get to play tennis . ,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", my boss wants me to stay late . , I will not be able to get off work on time . ,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", my boss is really strict . , I will lose my job if I don't . ,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", my boss told me that I needed to priorities my job . , I will lose my job if I don't . ,0
I take my promotion for granted and do not act appreciative . , my boss will think I am not thankful . , I will  be demoted . ,0
I take my promotion for granted and do not act appreciative . , I am not meeting the expectations of my boss . , I will  be demoted . ,0
I take my promotion for granted and do not act appreciative . , opportunities like that do not come often . , I will not get another chance . ,0
I take my promotion for granted and do not act appreciative . , I have been slacking off at work . , my boss will not give me a raise . ,0
I take my promotion for granted and do not act appreciative . , I have not been working hard . , my boss will not give me a raise . ,0
My boss asked me to go to work with him today . , I didn't do my work well . , I will be fired . ,0
My boss asked me to go to work with him today . , I was caught sleeping on the job yesterday . , I will be fired . ,0
My boss asked me to go to work with him today . , I didn't do the reports yesterday . , I will be fired . ,0
My boss asked me to go to work with him today . , he never takes days off . , I may never get a day off . ,0
My boss asked me to go to work with him today . , he is always working . , I may never get a day off . ,0
My boss asked me to go to work with him today . , he never brings his employees with him on business trips . , I may have to do extra work . ,0
My boss asked me to go to work with him today . , he is never in the office on Fridays . , I may have to do extra work . ,0
My boss asked me to go to work with him today . , he usually asks me to work on weekends . , I may have to do extra work . ,0
My boss asked me to go to work with him today . , he is my boss . , I will have to work all day . ,0
My boss asked me to go to work with him today . , he rarely asks me to go with him . , I will have to work all day . ,0
I take my boss to the library to find a book for him . , my boss is asking for a book that is not in the library . , I will  not find the book . ,0
I take my boss to the library to find a book for him . , I am not familiar with the library . , I will  not find the book . ,0
I take my boss to the library to find a book for him . , my boss  didn't give me  the name of the book he wanted . , I will  not find the book . ,0
I take my boss to the library to find a book for him . , I don't know how to use the library . , I will be fired . ,0
I take my boss to the library to find a book for him . , it's very big . , I will get lost in the library . ,0
I take my boss to the library to find a book for him . , I am not familiar with the location . , I will get lost in the library . ,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ", I really need the raise . , I will have to work on the weekends . ,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ", he didn't give me a raise . , I will have to work even harder with no extra pay . ,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ", my boss is so demanding . , I will never get a raise . ,0
I gave my boss a gift . , it's an expensive gift . , he will think I am kissing up to him . ,0
I gave my boss a gift . , it was quite a lot of money . , he will think it's too expensive . ,0
I gave my boss a gift . , I  spent a lot of money on it . , he will think it's too expensive . ,0
